dimension;weight
3.1 in x 3.1 in x 12.5 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.5 in x 3.5 in x 9.5 in;3.062 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.3 in x 3.3 in x 11.7 in;0.06 lbs
5.0 in x 3.0 in x 11.75 in;3.5 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
4.33 in x 2.32 in x 10.0 in;0.06 lbs
1.0 in x 1.0 in x 1.0 in;0.062 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
;2.4 pounds
1.938 in x 1.938 in x 4.258 in;0.267 lbs
6.69 in x 1.88 in x 5.814 in;0.669 lbs
8.25 in x 8.25 in x 6.0 in;
3.0 in x 3.0 in x 11.3 in;1.0 lbs
13.0 in x 8.63 in x 3.88 in;1.69 lbs
;
;
;
3.91 in x 5.1 in x 11.12 in;4.5 pounds
;
;
;
;
;
;
;
;4 pounds
;
4.645 in x 4.645 in x 9.78 in;4.445 lbs
2.4 in x 3.4 in x 6.55 in;1.435 lbs
;12 ounces
8.25 in x 8.25 in x 6.00 in;4.7 Pounds
;
3.3 in x 3.3 in x 11.2 in;
;
;
;
;
;
;12.3 pounds
4.951 in x 12.199 in x 5.319 in;4.375 lbs
;
;
;
;
3.5 in x 3.5 in x 10.5 in;2.35 lbs
2.50 in x 2.50 in x 3.60 in;
4.94 in x 7.0 in x 3.25 in;0.906 lbs
;11.8 ounces
;
;
;
;
;19.6 pounds
;
;
;
;
;
;
4.44 in x 4.44 in x 12.31 in;
;
;1.6 pounds
;
;2.7 lbs
12.75 in x 9.5 in x 10.0 in;
;
;
;
;
;32 pounds
;
;
;
;
;
;
;0.15 pounds
;3.2 pounds
;1.3 pounds
;
;
4.125 in x 4.125 in x 7.25 in;0.208 lbs
;
;
;
13.938 in x 9.813 in x 12.438 in;
;
2.70 in x 3.70 in x 11.30 in;
;1 pounds
;
;
;
;
;
;
;
3.0 in x 3.0 in x 11.3 in;1.0 lbs
