id;product_fk;categorie;id
265;52; Beer & Liquor;265
266;52;Spirits;266
267;52;Malt Drinks;267
268;53;Food & Beverage;268
269;53;Beverages;269
270;53;Wine;270
271;53; Beer & Liquor;271
272;53;Spirits;272
273;53;Malt Drinks;273
274;54;Food & Beverage;274
275;54;Beverages;275
276;54;Wine;276
277;54; Beer & Liquor;277
278;54;Wine;278
279;54;Food;279
280;55;Food & Beverage;280
281;55;Beverages;281
282;55;Wine;282
283;55; Beer & Liquor;283
284;55;Spirits;284
285;55;Malt Drinks;285
286;56;Food & Beverage;286
287;56;Beverages;287
288;56;Wine;288
289;56; Beer & Liquor;289
290;56;Spirits;290
291;56;Malt Drinks;291
292;57;Food & Beverage;292
293;57;Beverages;293
294;57;Wine;294
295;57; Beer & Liquor;295
296;57;Beer;296
297;57;Food;297
298;57;Grocery;298
299;58;Food & Beverage;299
300;58;Beverages;300
301;58;Wine;301
302;58; Beer & Liquor;302
303;58;Wine;303
304;58;Red;304
305;59;Food & Beverage;305
306;59;Beverages;306
307;59;Wine;307
308;59; Beer & Liquor;308
309;59;Wine;309
310;59;Target Finds;310
311;60;Food & Beverage;311
312;60;Beverages;312
313;60;Wine;313
314;60; Beer & Liquor;314
315;60;Wine;315
316;60;Food;316
317;60;Beer;317
318;60; Wine & Spirits;318
319;60;Grocery;319
320;61;Food & Beverage;320
321;61;Beverages;321
322;61;Wine;322
323;61; Beer & Liquor;323
324;61;Wine;324
325;61;Food;325
326;61;Beer;326
327;61; Wine & Spirits;327
328;62;Food & Beverage;328
329;62;Beverages;329
330;62;Wine;330
331;62; Beer & Liquor;331
332;62;Wine;332
333;62;Food;333
334;62;Beer;334
335;62; Wine & Spirits;335
336;63;Food & Beverage;336
337;63;Beverages;337
338;63;Wine;338
339;63; Beer & Liquor;339
340;63;Spirits;340
341;63;Food;341
342;63;Beer;342
343;63; Wine & Spirits;343
344;63;Grocery;344
345;64;Food & Beverage;345
346;64;Beverages;346
347;64;Wine;347
348;64; Beer & Liquor;348
349;64;Wine;349
350;64;Food;350
351;64;Beer;351
352;64; Wine & Spirits;352
353;65;Food & Beverage;353
354;65;Beverages;354
355;65;Wine;355
356;65; Beer & Liquor;356
357;65;Spirits;357
358;65;Food;358
359;65;Beer;359
360;65; Wine & Spirits;360
361;65;Fresh Food;361
362;65;Produce;362
363;65;Fruit;363
364;66;Food & Beverage;364
365;66;Beverages;365
366;66;Wine;366
367;66; Beer & Liquor;367
368;66;Spirits;368
369;66;Food;369
370;66;Beer;370
371;66; Wine & Spirits;371
